cartodb_id,the_geom,time,latitude,longitude,depth,mag,magtype,nst,gap,dmin,rms,net,id,updated,place,type
1180,0101000020E61000007E8CB96B098D62C0FC1873D712CA4E40,2015-10-13 10:30:47+00,61.5787,-148.4074,3.2,0.8,ml,,,,0.33,ak,ak11738543,2015-10-13 12:11:03.281+00,"29km E of Lazy Mountain, Alaska",earthquake
1181,0101000020E610000033333333338B5EC0A8C64B3789194740,2015-10-13 10:30:00.87+00,46.1995,-122.175,5.284,0.28,ml,9,146,0.02553,0.13,uw,uw61077617,2015-10-13 17:08:56.01+00,"38km NNE of Amboy, Washington",earthquake
1182,0101000020E6100000448B6CE7FB6D63C03D0AD7A3705D3340,2015-10-13 10:19:59.55+00,19.365,-155.437,10.003,1.7,md,54,44,0.02035,0.08,hv,hv61060936,2015-10-14 18:22:58.14+00,"18km NNE of Pahala, Hawaii",earthquake
1183,0101000020E61000004260E5D0229162C05127A089B0E94F40,2015-10-13 10:16:20+00,63.8257,-148.5355,0,1.5,ml,,,,0.55,ak,ak11738540,2015-10-13 11:05:28.363+00,"21km E of Healy, Alaska",earthquake
1184,0101000020E6100000F97E6ABC74435EC03F355EBA493C4240,2015-10-13 10:13:54.3+00,36.471,-121.054,6.77,2.08,md,73,128,0.09508,0.09,nc,nc72535965,2015-10-17 00:35:58.52+00,"23km NE of Greenfield, California",earthquake
1185,0101000020E610000034A2B437F81463C0D49AE61DA7A84D40,2015-10-13 10:10:39+00,59.3176,-152.6553,62.2,2.3,ml,,,,0.43,ak,ak11738537,2015-10-14 08:39:04.99+00,"69km SW of Anchor Point, Alaska",earthquake
1186,0101000020E61000002575029A086D62C06B2BF697DD2B5040,2015-10-13 09:49:48+00,64.6854,-147.4073,0.4,0.7,ml,,,,0.1,ak,ak11738512,2015-10-13 11:05:24.203+00,"7km SSW of North Pole, Alaska",earthquake
1187,0101000020E6100000F853E3A59B2851C086C954C1A8E43140,2015-10-13 09:47:32.6+00,17.8932,-68.6345,116,3.5,Md,7,338.4,1.20194585,0.56,pr,pr15286000,2015-10-13 17:50:15.26+00,"53km S of Boca de Yuma, Dominican Republic",earthquake
1188,0101000020E6100000454772F90FB962C03C9B559FABBD4E40,2015-10-13 09:33:11+00,61.4818,-149.7832,32.9,1.7,ml,,,,0.3,ak,ak11738509,2015-10-13 11:05:23.556+00,"10km WSW of Knik-Fairview, Alaska",earthquake
1189,0101000020E6100000ED66A1F80C535DC06A90381A76054140,2015-10-13 09:21:46.93+00,34.0426667,-117.2976667,15.41,0.86,ml,39,35,0.08111,0.21,ci,ci37475056,2015-10-13 13:18:30.69+00,"2km ENE of Grand Terrace, California",earthquake
1190,0101000020E61000003A234A7B83CD62C06ABC749318AC4E40,2015-10-13 09:17:13+00,61.3445,-150.4223,54.7,1.3,ml,,,,0.34,ak,ak11738508,2015-10-13 09:57:53.853+00,"31km WNW of Anchorage, Alaska",earthquake
1191,0101000020E6100000CBB7E3F244815DC07593180456064240,2015-10-13 08:58:58.11+00,36.0495,-118.0198333,1.12,0.01,ml,12,194,0.1129,0.18,ci,ci37475048,2015-10-13 16:45:26.605+00,"6km W of Coso Junction, California",earthquake
1192,0101000020E6100000BD8A315555215DC0D9CEF753E3BD4040,2015-10-13 08:53:38.67+00,33.4835,-116.5208333,5.29,0.49,ml,25,88,0.06891,0.16,ci,ci37475040,2015-10-13 13:17:28.165+00,"16km ESE of Anza, California",earthquake
1193,0101000020E6100000C9602063C9B35EC08D976E1283684340,2015-10-13 08:45:26.57+00,38.8165,-122.8091667,3.15,2.36,md,37,72,0.01378,0.04,nc,nc72535960,2015-10-13 17:26:14.09+00,"6km NW of The Geysers, California",earthquake
1194,0101000020E6100000F1BCAF25BF6C5DC0CFCB176A03ED4040,2015-10-13 08:44:33.08+00,33.8516667,-117.6991667,6.25,0.98,ml,17,179,0.09374,0.17,ci,ci37475032,2015-10-13 13:17:31.193+00,"11km ESE of Yorba Linda, California",earthquake
1195,0101000020E6100000AD47E17A14B65DC08915246C2EBC4240,2015-10-13 08:34:50.89+00,37.4701667,-118.845,5.79,1.41,md,31,120,0.09966,0.04,nc,nc72535955,2015-10-16 15:29:22.552+00,"23km SSE of Mammoth Lakes, California",earthquake
1196,0101000020E6100000D9B85917927A5EC0B29DEFA7C65B4740,2015-10-13 08:18:30.65+00,46.717,-121.9151667,2.968,1.34,ml,16,107,0.08001,0.1,uw,uw61077607,2015-10-13 17:04:17.03+00,"22km WNW of Packwood, Washington",earthquake
1197,0101000020E6100000489D8026C2A65E4040A4DFBE0E9C1FC0,2015-10-13 08:14:34.99+00,-7.9024,122.6056,260.37,4.6,mb,,75,0.814,1.08,us,us10003n87,2015-10-13 16:17:15.074+00,"63km N of Palue, Indonesia",earthquake
1198,0101000020E61000006EF085C954DB62C0438B6CE7FBC14F40,2015-10-13 08:12:57+00,63.5155,-150.8541,8.6,1.3,ml,,,,0.77,ak,ak11738499,2015-10-13 08:52:34.209+00,"95km W of Cantwell, Alaska",earthquake
1199,0101000020E6100000B39DEFA7C6B35EC0348AF6C2AE684340,2015-10-13 08:07:09.63+00,38.8178333,-122.809,3.03,1.83,md,23,77,0.01454,0.04,nc,nc72535935,2015-10-15 03:37:56.43+00,"6km NW of The Geysers, California",earthquake
1200,0101000020E610000089B0E1E995B25DC0F7C264AA60544340,2015-10-13 08:04:00.275+00,38.6592,-118.7904,8.9,0.6,ml,9,136.36,0.212,0.081,nn,nn00514521,2015-10-16 15:27:57.423+00,"20km NW of Hawthorne, Nevada",earthquake
1201,0101000020E6100000A5B1625D01B65DC021DCAEE133BC4240,2015-10-13 07:56:17.69+00,37.4703333,-118.8438333,5.97,1.35,md,32,120,0.09872,0.04,nc,nc72535930,2015-10-17 00:35:41.93+00,"22km SSE of Mammoth Lakes, California",earthquake
1202,0101000020E6100000892BC2A87F635DC02532BD0EE6194140,2015-10-13 07:55:14.75+00,34.2023333,-117.5546667,3.62,0.48,ml,19,54,0.04526,0.14,ci,ci37475008,2015-10-13 15:46:44.377+00,"8km SW of Lytle Creek, California",earthquake
